#{"t_start": 1757051978.0826457, "env_id": "None"}
r,l,t
-48.0,6,0.673178
-48.0,6,0.678087
-48.0,6,0.682645
-48.0,6,0.687206
-64.0,6,0.691731
-48.0,6,0.696544
-48.0,6,0.701344
-64.0,6,0.706007
-48.0,6,0.710771
-48.0,6,0.715317
-48.0,6,0.719823
-48.0,6,0.724324
-48.0,6,0.728804
-48.0,6,0.73329
-48.0,6,0.737747
-48.0,6,0.742244
-48.0,6,0.746498
-48.0,6,0.750809
-48.0,6,0.755233
-48.0,6,0.759677
-64.0,6,0.76414
-48.0,6,0.768663
-48.0,6,0.773299
-48.0,6,0.77793
-48.0,6,0.782449
-64.0,6,0.786914
-48.0,6,0.791438
-48.0,6,0.795958
-48.0,6,0.800455
-48.0,6,0.804955
-48.0,6,0.809421
-64.0,6,0.813933
-48.0,6,0.818419
-48.0,6,0.822906
-48.0,6,0.827336
-48.0,6,0.831891
-48.0,6,0.83638
-48.0,6,0.840868
-48.0,6,0.845301
-48.0,6,0.849771
-48.0,6,0.854229
-48.0,6,0.858737
-48.0,6,0.863198
-64.0,6,0.867666
-64.0,6,0.872174
-48.0,6,0.87666
-48.0,6,0.881176
-48.0,6,0.885646
-48.0,6,0.890148
-48.0,6,0.89463
-48.0,6,0.899121
-48.0,6,0.90369
-48.0,6,0.90816
-64.0,6,0.912619
-64.0,6,0.917102
-48.0,6,0.921679
-48.0,6,0.926238
-48.0,6,0.930613
-48.0,6,0.934899
-48.0,6,0.939147
-48.0,6,0.943396
-48.0,6,0.947986
-48.0,6,0.952446
-48.0,6,0.956936
-48.0,6,0.96124
-48.0,6,0.965497
-48.0,6,0.969769
-48.0,6,0.97407
-48.0,6,0.978615
-48.0,6,0.983214
-48.0,6,0.987731
-64.0,6,0.992219
-48.0,6,0.996691
-48.0,6,1.001176
-48.0,6,1.00566
-48.0,6,1.010124
-48.0,6,1.014555
-48.0,6,1.019117
-48.0,6,1.023637
-48.0,6,1.028093
-48.0,6,1.032556
-48.0,6,1.036995
-48.0,6,1.041404
-48.0,6,1.045899
-48.0,6,1.050349
-48.0,6,1.054818
-48.0,6,1.059513
-48.0,6,1.063907
-48.0,6,1.068193
-48.0,6,1.07246
-48.0,6,1.076787
-48.0,6,1.081307
-48.0,6,1.085839
-48.0,6,1.090302
-48.0,6,1.094783
-48.0,6,1.099304
-48.0,6,1.103807
-64.0,6,1.1083
-48.0,6,1.112796
-48.0,6,1.117317
-48.0,6,1.121819
-48.0,6,1.126298
-48.0,6,1.13079
-48.0,6,1.135282
-48.0,6,1.139755
-48.0,6,1.144258
-48.0,6,1.148709
-48.0,6,1.153282
-48.0,6,1.157877
-48.0,6,1.162335
-48.0,6,1.166802
-48.0,6,1.171276
-48.0,6,1.175722
-48.0,6,1.180054
-48.0,6,1.184758
-64.0,6,1.189306
-48.0,6,1.193896
-48.0,6,1.198889
-48.0,6,1.203594
-48.0,6,1.208171
-48.0,6,1.212662
-48.0,6,1.21719
-48.0,6,1.221696
-48.0,6,1.226192
-48.0,6,1.230647
-48.0,6,1.235101
-48.0,6,1.239592
-48.0,6,1.244049
-48.0,6,1.248601
-48.0,6,1.253193
-64.0,6,1.257625
-48.0,6,1.261918
-48.0,6,1.266115
-48.0,6,1.270347
-48.0,6,1.274592
-48.0,6,1.278873
-48.0,6,1.283233
-48.0,6,1.287776
-48.0,6,1.292293
-48.0,6,1.296851
-48.0,6,1.301379
-48.0,6,1.30599
-48.0,6,1.310475
-48.0,6,1.314712
-64.0,6,1.318976
-48.0,6,1.323273
-48.0,6,1.327561
-48.0,6,1.331813
-48.0,6,1.336065
-48.0,6,1.340352
-48.0,6,1.344631
-48.0,6,1.348927
