#{"t_start": 1757246473.9678743, "env_id": "None"}
r,l,t
-93.0,18,0.083512
-96.0,18,0.143147
-93.0,18,0.205541
-96.0,18,0.267928
-93.0,18,0.329993
-96.0,18,0.390993
-88.0,18,0.453186
-93.0,18,0.515116
-93.0,18,0.576521
-96.0,18,0.637493
-88.0,18,0.699664
-96.0,18,0.759681
-96.0,18,0.823556
-96.0,18,0.888654
-93.0,18,0.949563
-93.0,18,1.010528
-88.0,18,1.072531
-100.0,18,1.132693
-96.0,18,1.192762
-93.0,18,1.252705
-93.0,18,1.312841
-96.0,18,1.370265
-93.0,18,1.431529
-93.0,18,1.491998
-93.0,18,1.553526
-96.0,18,1.614285
-96.0,18,1.675146
-93.0,18,1.735377
-93.0,18,1.797578
-93.0,18,1.857909
-93.0,18,1.919399
-93.0,18,1.981015
-93.0,18,2.041119
-93.0,18,2.100706
-93.0,18,2.162206
-96.0,18,2.221793
-93.0,18,2.282373
-96.0,18,2.342463
-93.0,18,2.404568
-93.0,18,2.464948
-93.0,18,2.526733
-93.0,18,2.58794
-93.0,18,2.648028
-88.0,18,2.709549
-93.0,18,2.770627
-100.0,18,2.831789
-96.0,18,2.892001
-93.0,18,2.95427
-93.0,18,3.014416
-88.0,18,3.076605
-93.0,18,3.1388
-96.0,18,3.199398
-96.0,18,3.261056
-93.0,18,3.321591
-96.0,18,3.383224
-93.0,18,3.444263
-93.0,18,3.505667
-96.0,18,3.568114
-93.0,18,3.628374
-93.0,18,3.690195
-93.0,18,3.751462
-93.0,18,3.812901
-96.0,18,3.872701
-93.0,18,3.934925
-96.0,18,3.997101
-96.0,18,4.058246
-88.0,18,4.120389
-93.0,18,4.182086
-93.0,18,4.24369
-88.0,18,4.304916
-96.0,18,4.365869
-93.0,18,4.426266
-88.0,18,4.488115
-93.0,18,4.550765
-93.0,18,4.610166
-93.0,18,4.672125
-93.0,18,4.734278
-100.0,18,4.795001
-100.0,18,4.856411
-93.0,18,4.916847
-93.0,18,4.978168
-93.0,18,5.040208
-93.0,18,5.101745
-93.0,18,5.162736
-93.0,18,5.224632
-88.0,18,5.285811
-96.0,18,5.346626
-93.0,18,5.408241
-93.0,18,5.469812
-96.0,18,5.53069
-96.0,18,5.592415
-93.0,18,5.653745
-93.0,18,5.715584
-93.0,18,5.776241
-88.0,18,5.838009
-96.0,18,5.899484
-93.0,18,5.960482
-96.0,18,6.023299
-96.0,18,6.085243
-96.0,18,6.147066
-93.0,18,6.208742
-93.0,18,6.269631
-100.0,18,6.330484
-93.0,18,6.400073
-93.0,18,6.460767
-93.0,18,6.52116
-93.0,18,6.581812
-93.0,18,6.643511
-93.0,18,6.705247
-93.0,18,6.765644
-93.0,18,6.826622
-96.0,18,6.887798
-93.0,18,6.94925
-93.0,18,9.049892
-100.0,18,9.110467
-96.0,18,9.172702
-93.0,18,9.233514
-93.0,18,9.294303
-93.0,18,9.35607
-93.0,18,9.41546
-88.0,18,9.476553
-93.0,18,9.538176
-93.0,18,9.600506
-93.0,18,9.661964
-93.0,18,9.723618
-93.0,18,9.784802
-93.0,18,9.847115
-93.0,18,9.907771
-93.0,18,9.967968
-96.0,18,10.030192
-96.0,18,10.091169
-93.0,18,10.152051
-93.0,18,10.211549
-93.0,18,10.273724
-88.0,18,10.335855
-93.0,18,10.397771
-93.0,18,10.458668
-93.0,18,10.519397
-88.0,18,10.580959
-96.0,18,10.643025
-93.0,18,10.705432
-88.0,18,10.766535
-93.0,18,10.826526
-93.0,18,10.886246
-96.0,18,10.94628
-96.0,18,11.005983
-93.0,18,11.068113
-93.0,18,11.128958
-93.0,18,11.186687
-93.0,18,11.24909
-88.0,18,11.30876
-96.0,18,11.370468
-96.0,18,11.430606
-96.0,18,11.492565
-93.0,18,11.554672
-88.0,18,11.617211
-93.0,18,11.677495
-100.0,18,11.739021
-93.0,18,11.800273
-88.0,18,11.861845
-93.0,18,11.922981
-93.0,18,11.985208
-88.0,18,12.047046
-93.0,18,12.107514
-93.0,18,12.167808
-93.0,18,12.230577
-93.0,18,12.289952
-96.0,18,12.351671
-93.0,18,12.412474
-96.0,18,12.474306
-100.0,18,12.536444
-96.0,18,12.598798
-96.0,18,12.659996
-93.0,18,12.721425
-93.0,18,12.783561
-93.0,18,12.843528
-93.0,18,12.905798
-93.0,18,12.968119
-96.0,18,13.028225
-100.0,18,13.090534
-93.0,18,13.152043
-100.0,18,13.214009
-96.0,18,13.274639
-96.0,18,13.335945
-93.0,18,13.397591
-88.0,18,13.45905
-93.0,18,13.520875
-93.0,18,13.582568
-88.0,18,13.644137
-88.0,18,13.705541
-93.0,18,13.767556
-100.0,18,13.828287
